Tracker,Game_Date,Home_Team,Away_Team,Quarter,Game_Clock,Shot_Clock,Home_Strength,Away_Strength,Team,Event_Type,State,Player1,Location1_x,Location1_y,Net_Location,Shot_Angle,Result,Empty_Net,Goalie_Response,Shot_Type,Primary_Assist,Secondary_Assist,Rebound_Type,Rebound,Shot_Blocker,FO_Home,FO_Away,FO_Result,FO_Winning_Team,Turnover_Type,Home_Goalie,Away_Goalie,Min,Sec,Time_Stamp,Game,Season,Player1_Name,Primary_Assist_Name,Secondary_Assist_Name,FO_Home_Name,FO_Away_Name,Home_Goalie_Name,Away_Goalie_Name,Rebound_Team,Rebound_Name,Shot_Blocking_Team,Shot_Blocker_Name,Competition
Eddy,4/21/24,Ireland,Finland,1,3:57,13,5,5,Ireland,Shot,Set,79,0.851555896,0.314327373,5-Hole,289.1442096,Miss,No,Clean Save,Assisted,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,3,57,663,4-21 Finland vs Ireland,2023,J. Harrington,S. Keane,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,4:30,11,5,5,Finland,Shot,Set,5,0.110078819,0.54265119,5-Hole,281.4649661,Miss,No,Clean Save,Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,4,30,630,4-21 Finland vs Ireland,2023,R. Jokela,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,4:36,27,5,5,Ireland,Turnover,Transition,9,0.469923619,0.572432558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,4,36,624,4-21 Finland vs Ireland,2023,P. Rasimowicsz,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,5:08,6,5,5,Finland,Shot,Set,19,0.233775469,0.451888928,Left Miss,255.8842839,Miss,No,Not On Net,Movement,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,0,44,5,8,592,4-21 Finland vs Ireland,2023,Ja. Aaltonen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,6:02,9,5,5,Finland,Shot,Set,5,0.24150651,0.561087275,Right Leg,272.2461418,Miss,No,Clean Save,Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,6,2,538,4-21 Finland vs Ireland,2023,R. Jokela,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,6:23,13,5,5,Ireland,Shot,Set,24,0.84944743,0.511451663,Top Miss,161.1813933,Miss,No,Not On Net,Assisted,76,NA,Defensive,16,NA,NA,NA,NA,NA,NA,0,44,6,23,517,4-21 Finland vs Ireland,2023,P. Corbett,L. Coppinger,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,R. Tenho,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,6:59,12,5,5,Finland,Shot,Set,7,0.211987991,0.436289164,5-Hole,75.27956021,Miss,No,Clean Save,Movement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,44,6,59,481,4-21 Finland vs Ireland,2023,A. Hyytiäinen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,7:02,29,5,5,Ireland,Turnover,Transition,0,0.084777232,0.531305907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,7,2,478,4-21 Finland vs Ireland,2023,J. McMillan,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,7:52,8,6,5,Ireland,Shot,Set,76,0.81922609,0.629158972,Left Miss,157.6962116,Miss,No,Not On Net,Assisted,79,17,Offensive,79,NA,NA,NA,NA,NA,NA,0,44,7,52,428,4-21 Finland vs Ireland,2023,L. Coppinger,J. Harrington,B. Farrell,NA,NA,J. McMillan,L. Uusitalo,Ireland,J. Harrington,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,8:00,2,6,5,Ireland,Shot,Set,27,0.871234908,0.029277142,Left Miss,264.3186682,Miss,No,Not On Net,Movement,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,0,44,8,0,420,4-21 Finland vs Ireland,2023,B. Gillis,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
